Prefix,Effective Date,InternationalRate,Description
43740,2/27/2015,0.2804,Austria - Premium numbers
43810,2/27/2015,0.2804,Austria - Premium numbers
43820,2/27/2015,0.2804,Austria - Premium numbers
4357,2/27/2015,0.00853,Austria - Private numbers
4359,2/27/2015,0.00853,Austria - Private numbers
43501,2/27/2015,0.00853,Austria - Private numbers
43502,2/27/2015,0.00853,Austria - Private numbers
43503,2/27/2015,0.00853,Austria - Private numbers
43504,2/27/2015,0.00853,Austria - Private numbers
43505,2/27/2015,0.00853,Austria - Private numbers
43506,2/27/2015,0.00853,Austria - Private numbers
43507,2/27/2015,0.00853,Austria - Private numbers
43508,2/27/2015,0.00853,Austria - Private numbers
43509,2/27/2015,0.00853,Austria - Private numbers
43517,2/27/2015,0.00853,Austria - Private numbers
43720,2/27/2015,0.00853,Austria - Special Service
43780,2/27/2015,0.00853,Austria - Special Service
431,2/27/2015,0.00733,Austria - Vienna
994,2/27/2015,0.21067,Azerbaijan
99412,2/27/2015,0.21067,Azerbaijan - Baku
99450,2/27/2015,0.33733,Azerbaijan - Mobile - AzerCell
99451,2/27/2015,0.33733,Azerbaijan - Mobile - AzerCell
99470,2/27/2015,0.34267,Azerbaijan - Mobile - Azerfone
99477,2/27/2015,0.34267,Azerbaijan - Mobile - Azerfone
99455,2/27/2015,0.34267,Azerbaijan - Mobile - Bakcell
99440,2/27/2015,0.37333,Azerbaijan - Mobile - Fonex
99444,2/27/2015,0.34267,Azerbaijan - Mobile - Other
99460,2/27/2015,0.34267,Azerbaijan - Mobile - Other
973,2/27/2015,0.04547,Bahrain
9737111,2/27/2015,0.46307,Bahrain - Broadband
97331,2/27/2015,0.068,Bahrain - Mobile - Batelco
97332,2/27/2015,0.068,Bahrain - Mobile - Batelco
97338,2/27/2015,0.068,Bahrain - Mobile - Batelco
97339,2/27/2015,0.068,Bahrain - Mobile - Batelco
97333,2/27/2015,0.06933,Bahrain - Mobile - Viva
97334,2/27/2015,0.06933,Bahrain - Mobile - Viva
97335,2/27/2015,0.06933,Bahrain - Mobile - Viva
9736300,2/27/2015,0.06933,Bahrain - Mobile - Viva
9736333,2/27/2015,0.06933,Bahrain - Mobile - Viva
9736361,2/27/2015,0.06933,Bahrain - Mobile - Viva
9736366,2/27/2015,0.06933,Bahrain - Mobile - Viva
97336,2/27/2015,0.06933,Bahrain - Mobile - Zain
97337,2/27/2015,0.06933,Bahrain - Mobile - Zain
973663,2/27/2015,0.06933,Bahrain - Mobile - Zain
973666,2/27/2015,0.06933,Bahrain - Mobile - Zain
973669,2/27/2015,0.06933,Bahrain - Mobile - Zain
97377,2/27/2015,0.09573,Bahrain - WIMAX
880,2/27/2015,0.01733,Bangladesh
8801,2/27/2015,0.01733,Bangladesh - Mobile
375,2/27/2015,0.33333,Belarus
375172,2/27/2015,0.33333,Belarus - Minsk
375173,2/27/2015,0.33333,Belarus - Minsk
375175,2/27/2015,0.33333,Belarus - Minsk
37533,2/27/2015,0.28267,Belarus - Mobile - MTS
375292,2/27/2015,0.28267,Belarus - Mobile - MTS
375295,2/27/2015,0.28267,Belarus - Mobile - MTS
375297,2/27/2015,0.28267,Belarus - Mobile - MTS
375298,2/27/2015,0.28267,Belarus - Mobile - MTS
37524,2/27/2015,0.33333,Belarus - Mobile - Others
37525,2/27/2015,0.33333,Belarus - Mobile - Others
37529,2/27/2015,0.33333,Belarus - Mobile - Others
37544,2/27/2015,0.26667,Belarus - Mobile - Velcom
375291,2/27/2015,0.26667,Belarus - Mobile - Velcom
375293,2/27/2015,0.26667,Belarus - Mobile - Velcom
375296,2/27/2015,0.26667,Belarus - Mobile - Velcom
375299,2/27/2015,0.26667,Belarus - Mobile - Velcom
375602,2/27/2015,1.08533,Belarus - Telematic Service
375860,2/27/2015,0.2856,Belarus - Voice Services OLO
32,2/27/2015,0.01373,Belgium
3248,2/27/2015,0.18987,Belgium - Mobile - Base
324665,2/27/2015,0.18987,Belgium - Mobile - Base
324666,2/27/2015,0.18987,Belgium - Mobile - Base
324667,2/27/2015,0.18987,Belgium - Mobile - Base
3249,2/27/2015,0.02107,Belgium - Mobile - Mobistar
32770005,2/27/2015,0.02107,Belgium - Mobile - Mobistar
3246,2/27/2015,0.3912,Belgium - Mobile - Other
3247,2/27/2015,0.02107,Belgium - Mobile - Proximus
32460,2/27/2015,0.02107,Belgium - Mobile - Proximus
32770001,2/27/2015,0.02107,Belgium - Mobile - Proximus
324681,2/27/2015,0.0236,Belgium - Mobile - Telenet
324682,2/27/2015,0.0236,Belgium - Mobile - Telenet
324683,2/27/2015,0.0236,Belgium - Mobile - Telenet
3270,2/27/2015,0.0644,Belgium - Personal Numbers
3278,2/27/2015,0.0448,Belgium - Service Numbers
3290,2/27/2015,0.02573,Belgium - Telenet Areas
32230,2/27/2015,0.02573,Belgium - Telenet Areas
32261,2/27/2015,0.02573,Belgium - Telenet Areas
32361,2/27/2015,0.02573,Belgium - Telenet Areas
321020,2/27/2015,0.02573,Belgium - Telenet Areas
321044,2/27/2015,0.02573,Belgium - Telenet Areas
321089,2/27/2015,0.02573,Belgium - Telenet Areas
321141,2/27/2015,0.02573,Belgium - Telenet Areas
321171,2/27/2015,0.02573,Belgium - Telenet Areas
321172,2/27/2015,0.02573,Belgium - Telenet Areas
321174,2/27/2015,0.02573,Belgium - Telenet Areas
321175,2/27/2015,0.02573,Belgium - Telenet Areas
321176,2/27/2015,0.02573,Belgium - Telenet Areas
321191,2/27/2015,0.02573,Belgium - Telenet Areas
321220,2/27/2015,0.02573,Belgium - Telenet Areas
321221,2/27/2015,0.02573,Belgium - Telenet Areas
321222,2/27/2015,0.02573,Belgium - Telenet Areas
